1     10     19     68.8767     4.56879     3.19468
126     24     17     127.9     2.92384     3.071
127     40     33     240.873     2.60756     3.82527
128     37     25     137.437     3.83145     2.51144
129     13     16     206.947     4.54476     4.90219
130     11     16     80.2667     4.75753     2.60743
131     20     16     324.773     3.52681     4.84687
132     42     22     270.58     1.55426     3.19376
133     24     30     259.507     3.38154     4.68574
134     32     18     253.653     4.41519     4.93797
135     10     18     345.943     2.26843     4.15372
136     29     32     108.657     3.65275     2.67022
137     27     30     238.263     3.30175     3.93124
138     40     21     50.39     4.16652     4.02684
139     27     19     314.457     2.86093     3.19224
140     24     23     252.58     2.59677     3.40411
141     29     25     94.8033     2.08887     4.96643
142     44     23     282.97     1.66684     3.72662
143     17     33     41.2433     3.07744     4.31211
144     36     32     53.3167     2.21149     3.52733
145     41     28     335.383     3.74033     4.30341
146     14     28     280.677     4.39489     4.33981
147     36     27     108.73     1.87385     4.82871
148     42     22     170.143     4.11376     3.4035
149     46     20     153.363     4.90493     4.20164
150     21     26     72.95     2.08994     4.18149
151     30     20     171.997     3.32632     3.5857
152     34     26     297.213     4.64954     4.69016
153     38     26     183.46     2.32012     4.22987
154     20     35     33.8533     2.1896     3.64216
155     39     19     174.07     3.06836     2.51778
156     38     24     96.8767     2.3323     4.40123
157     27     29     324.847     3.75027     2.82907
158     28     25     277.36     2.26725     4.24986
159     17     29     359.87     2.7288     3.21291
160     39     20     271.043     1.77996     3.96947
161     28     19     266.97     3.92309     3.87471
162     20     32     47.7067     4.46956     2.73286
163     12     32     67.4133     3.36905     3.47476
164     37     30     102.803     3.6521     3.30935
165     11     19     194.557     2.46774     3.23939
166     31     17     356.553     1.95354     2.58217
167     9     34     237.58     2.42064     3.88531
168     26     31     60.6333     1.58802     4.87907
169     33     34     313.53     4.3526     2.85524
170     20     15     331.7     3.82525     3.11403
171     10     30     314.773     4.62262     4.3675
172     15     32     260.897     3.6442     2.74323
173     23     29     300.067     2.82183     4.7766
174     14     30     187.167     4.07562     3.53221
175     16     15     178.777     4.9592     3.24747
176     12     21     205.947     4.73104     4.13579
177     30     24     40.39     4.33412     2.74201
178     30     24     203.167     3.01933     4.49087
179     19     17     244.117     3.09731     3.81733
180     43     26     133.047     4.55148     3.52153
181     39     20     239.873     4.49893     3.73753
182     19     32     74.4133     4.23179     4.65667
183     28     29     311.993     3.82386     3.39724
184     37     26     331.383     4.53771     4.15975
185     27     32     137.827     2.51495     4.55847
186     39     33     142.9     4.48643     4.77165
187     21     32     218.41     3.48355     4.89853
188     27     21     61.6333     4.78904     4.66575
189     27     18     269.433     1.60724     3.3723
190     28     21     294.677     4.69259     4.21537
191     46     33     229.557     4.41604     3.38549
192     45     32     90.0233     4.50908     3.07398
193     40     15     168.143     2.46454     3.78124
194     26     23     95.2667     3.33262     2.56775
195     25     33     336.7     4.89361     2.63855
196     21     33     83.34     2.4435     3.40052
197     35     16     211.63     3.6771     3.88432
198     42     35     76.6333     3.90002     3.67138
199     30     24     352.09     3.05864     4.21636
200     44     16     206.777     4.31777     4.70504
201     37     20     199.777     2.17379     2.84021
202     46     27     267.653     4.83636     4.69398
203     46     28     136.047     4.36135     4.01814
204     42     16     90.4867     2.27377     2.65381
205     46     17     239.947     4.16033     4.92988
206     37     22     154.753     3.46849     2.69089
207     11     26     346.943     4.4968     3.84678
208     33     15     375.87     3.30837     3.58211
209     33     28     46.8533     4.55586     3.61843
210     34     24     238.337     3.44734     3.66787
211     22     22     254.043     3.84277     2.97082
212     34     21     231.41     1.71021     3.55663
213     14     18     308.383     4.931     3.11838
214     13     26     234.653     4.68404     4.14312
215     23     19     61.0967     4.39724     4.68726
216     29     34     240.263     3.99744     4.93797
217     21     21     284.213     3.4452     4.95178
218     24     29     304.53     3.78787     2.7102
219     47     34     157.827     3.21566     2.88354
220     45     26     135.047     4.85537     2.94298
221     33     18     271.97     2.28455     4.51262
222     26     30     309.993     1.50427     4.10047
223     8     22     149.997     3.34886     3.60096
224     41     21     286.897     1.57327     4.70801
225     25     21     166.997     4.59891     2.62947
226     14     19     294.53     3.15168     3.24503
227     43     23     133.047     3.77985     4.09627
228     18     15     274.287     4.98334     3.35017
229     32     17     104.73     4.43922     4.62821
230     27     29     300.603     1.55918     4.33836
231     15     16     222.8     3.36221     4.40466
232     10     34     214.337     4.89628     4.53116
233     45     24     238.947     4.69547     4.3939
234     28     33     249.653     2.00427     4.89952
235     32     25     142.827     4.75678     3.90202
236     42     20     294.823     2.04038     3.01859
237     18     33     97.6567     3.53397     3.43402
238     34     18     96.34     1.65029     4.83551
239     28     28     208.093     4.36979     2.86775
240     11     27     225.727     4.9984     4.24932
241     41     21     248.8     1.83508     4.94049
242     28     31     308.53     3.98355     3.00363
243     22     26     295.603     3.2899     4.04706
244     14     20     97.12     2.64463     3.3916
245     25     22     347.09     3.63053     2.85211
246     45     24     297.823     1.75123     3.77369
247     31     22     276.897     4.22602     4.21331
248     27     32     241.727     3.08342     4.40764
249     20     30     290.14     2.54048     3.41762
250     45     35     169.68     1.89874     3.59081
251     15     23     108.51     4.94456     3.23069
252     27     32     155.143     2.58588     4.11588
253     19     34     109.047     3.21203     4.25764
254     13     32     286.603     1.50716     2.53777
255     8     23     25.3167     2.20701     3.11701
256     25     28     236.263     3.52756     3.75408
257     23     29     286.213     4.25571     3.42723
258     22     29     98.1933     2.23115     3.39755
259     25     27     315.92     2.70775     4.60555
260     44     25     140.973     4.32611     3.04117
261     41     20     262.653     2.18361     3.47873
262     25     25     364.407     3.73574     3.21574
263     38     19     297.75     2.511     3.70792
264     38     30     315.067     3.37844     4.24017
265     18     19     205.02     2.34683     3.024
266     40     35     285.897     4.13416     4.86343
267     46     26     371.553     4.98878     3.27692
268     40     20     88.4867     2.99872     3.72028
269     19     29     230.263     1.87246     3.29691
270     43     33     133.047     3.92566     3.59882
271     10     34     262.823     3.75796     4.56832
272     34     28     231.41     2.85548     3.52008
273     29     19     364.943     4.1019     4.71595
274     43     32     56.8533     2.9326     3.63094
275     12     26     143.607     4.11846     3.80375
276     14     23     308.383     3.90942     2.90925
277     25     21     139.29     1.52734     3.44653
278     17     22     304.457     4.2382     4.68123
279     44     22     158.29     2.48975     3.73333
280     45     21     51.9267     1.85035     4.95163
281     32     30     260.58     4.23061     2.96396
282     47     18     78.17     4.12369     3.54617
283     44     34     95.95     4.3496     2.69784
284     23     24     300.067     1.53557     3.06711
285     19     15     219.873     1.81916     3.11533
286     28     18     93.8033     3.00609     3.16027
287     28     27     107.657     3.67016     3.69144
288     30     23     99.2667     3.42651     2.59514
289     10     22     106.973     2.36477     4.18241
290     19     23     199.093     2.37599     4.15799
291     21     17     38.3167     4.35687     3.4241
292     35     23     332.847     4.0266     4.85626
293     32     16     322.92     4.84042     3.44394
294     28     27     90.34     1.73424     3.93658
295     33     27     157.68     3.18479     3.88417
296     15     17     236.653     3.31884     3.71479
297     45     15     76.17     3.05789     4.23849
298     40     17     164.68     2.53034     3.21841
299     33     22     285.823     4.23692     3.90072
300     42     24     80.0967     1.70338     4.64187
